x-axis,1,2,3
second,Volt,Volt,Volt
-4.045000E-06,+2.378291427623E+00,+2.443216074724E+00,+2.660804018378E+00
-4.040000E-06,+2.453668311238E+00,+2.408040195704E+00,+2.540201004595E+00
-4.035000E-06,+2.524020069279E+00,+2.403015070129E+00,+2.419597990811E+00
-4.030000E-06,+2.619497455191E+00,+2.772361799842E+00,+2.379396986216E+00
-4.025000E-06,+2.684824087657E+00,+2.448241200298E+00,+2.469849246554E+00
-4.020000E-06,+2.453668311238E+00,+2.408040195704E+00,+2.660804018378E+00
-4.015000E-06,+2.373266302049E+00,+2.403015070129E+00,+2.610552762635E+00
-4.010000E-06,+2.458693436813E+00,+2.448241200298E+00,+2.457286432618E+00
-4.005000E-06,+2.694874338806E+00,+2.729648232460E+00,+2.339195981622E+00
-4.000000E-06,+2.694874338806E+00,+2.450753763085E+00,+2.469849246554E+00
-3.995000E-06,+2.453668311238E+00,+2.403015070129E+00,+2.623115576571E+00
-3.990000E-06,+2.443618060090E+00,+2.408040195704E+00,+2.575376883615E+00
-3.985000E-06,+2.468743687961E+00,+2.370351753896E+00,+2.419597990811E+00
-3.980000E-06,+2.694874338806E+00,+2.732160795247E+00,+2.379396986216E+00
-3.975000E-06,+2.684824087657E+00,+2.448241200298E+00,+2.500000000000E+00
-3.970000E-06,+2.453668311238E+00,+2.408040195704E+00,+2.655778892804E+00
-3.965000E-06,+2.363216050901E+00,+2.370351753896E+00,+2.610552762635E+00
-3.960000E-06,+2.539095446002E+00,+2.375376879470E+00,+2.419597990811E+00
-3.955000E-06,+2.694874338806E+00,+2.732160795247E+00,+2.379396986216E+00
-3.950000E-06,+2.684824087657E+00,+2.488442204893E+00,+2.464824120980E+00
-3.945000E-06,+2.453668311238E+00,+2.443216074724E+00,+2.660804018378E+00
-3.940000E-06,+2.443618060090E+00,+2.408040195704E+00,+2.575376883615E+00
-3.935000E-06,+2.453668311238E+00,+2.410552758491E+00,+2.457286432618E+00
-3.930000E-06,+2.629547706340E+00,+2.732160795247E+00,+2.344221107196E+00
-3.925000E-06,+2.755175845698E+00,+2.488442204893E+00,+2.502512562787E+00
-3.920000E-06,+2.378291427623E+00,+2.408040195704E+00,+2.660804018378E+00
-3.915000E-06,+2.363216050901E+00,+2.370351753896E+00,+2.575376883615E+00
-3.910000E-06,+2.534070320427E+00,+2.448241200298E+00,+2.419597990811E+00
-3.905000E-06,+2.699899464380E+00,+2.769849237055E+00,+2.379396986216E+00
-3.900000E-06,+2.694874338806E+00,+2.450753763085E+00,+2.464824120980E+00
-3.895000E-06,+2.453668311238E+00,+2.408040195704E+00,+2.660804018378E+00
-3.890000E-06,+2.443618060090E+00,+2.370351753896E+00,+2.570351758040E+00
-3.885000E-06,+2.458693436813E+00,+2.410552758491E+00,+2.417085428024E+00
