x-axis,1,2,3
second,Volt,Volt,Volt
-4.805000E-06,+2.215954802930E+00,+2.472864292562E+00,+1.094302767888E+00
-4.800000E-06,+2.693341732491E+00,+2.392462283373E+00,+1.094302767888E+00
-4.795000E-06,+2.693341732491E+00,+2.709045194555E+00,+1.094302767888E+00
-4.790000E-06,+2.457160830498E+00,+2.553266301751E+00,+1.094302767888E+00
-4.785000E-06,+2.532537714113E+00,+2.628643185366E+00,+1.094302767888E+00
-4.780000E-06,+2.296356812119E+00,+2.472864292562E+00,+1.094302767888E+00
-4.775000E-06,+2.617964848876E+00,+2.472864292562E+00,+1.094302767888E+00
-4.770000E-06,+2.612939723302E+00,+2.633668310940E+00,+1.094302767888E+00
-4.765000E-06,+2.537562839687E+00,+2.553266301751E+00,+1.094302767888E+00
-4.760000E-06,+2.612939723302E+00,+2.553266301751E+00,+1.094302767888E+00
-4.755000E-06,+2.371733695734E+00,+2.472864292562E+00,+1.094302767888E+00
-4.750000E-06,+2.612939723302E+00,+2.392462283373E+00,+1.094302767888E+00
-4.745000E-06,+2.693341732491E+00,+2.709045194555E+00,+1.094302767888E+00
-4.740000E-06,+2.537562839687E+00,+2.472864292562E+00,+1.094302767888E+00
-4.735000E-06,+2.532537714113E+00,+2.553266301751E+00,+1.094302767888E+00
-4.730000E-06,+2.376758821309E+00,+2.553266301751E+00,+1.094302767888E+00
-4.725000E-06,+2.693341732491E+00,+2.467839166988E+00,+1.094302767888E+00
-4.720000E-06,+2.612939723302E+00,+2.633668310940E+00,+1.094302767888E+00
-4.715000E-06,+2.617964848876E+00,+2.548241176177E+00,+1.094302767888E+00
-4.710000E-06,+2.532537714113E+00,+2.553266301751E+00,+1.094302767888E+00
-4.705000E-06,+2.291331686545E+00,+2.472864292562E+00,+1.094302767888E+00
-4.700000E-06,+2.612939723302E+00,+2.392462283373E+00,+1.094302767888E+00
-4.695000E-06,+2.612939723302E+00,+2.709045194555E+00,+1.094302767888E+00
-4.690000E-06,+2.537562839687E+00,+2.633668310940E+00,+1.094302767888E+00
-4.685000E-06,+2.532537714113E+00,+2.548241176177E+00,+1.094302767888E+00
-4.680000E-06,+2.376758821309E+00,+2.472864292562E+00,+1.094302767888E+00
-4.675000E-06,+2.612939723302E+00,+2.392462283373E+00,+1.094302767888E+00
-4.670000E-06,+2.612939723302E+00,+2.633668310940E+00,+1.094302767888E+00
-4.665000E-06,+2.617964848876E+00,+2.553266301751E+00,+1.094302767888E+00
-4.660000E-06,+2.612939723302E+00,+2.628643185366E+00,+1.094302767888E+00
-4.655000E-06,+2.296356812119E+00,+2.472864292562E+00,+1.094302767888E+00
-4.650000E-06,+2.693341732491E+00,+2.392462283373E+00,+1.094302767888E+00
-4.645000E-06,+2.693341732491E+00,+2.633668310940E+00,+1.094302767888E+00
-4.640000E-06,+2.537562839687E+00,+2.553266301751E+00,+1.094302767888E+00
-4.635000E-06,+2.612939723302E+00,+2.628643185366E+00,+1.094302767888E+00
-4.630000E-06,+2.296356812119E+00,+2.472864292562E+00,+1.094302767888E+00
-4.625000E-06,+2.612939723302E+00,+2.472864292562E+00,+1.094302767888E+00
-4.620000E-06,+2.612939723302E+00,+2.709045194555E+00,+1.094302767888E+00
-4.615000E-06,+2.617964848876E+00,+2.472864292562E+00,+1.094302767888E+00
-4.610000E-06,+2.612939723302E+00,+2.628643185366E+00,+1.094302767888E+00
-4.605000E-06,+2.215954802930E+00,+2.472864292562E+00,+1.094302767888E+00
-4.600000E-06,+2.693341732491E+00,+2.392462283373E+00,+1.094302767888E+00
-4.595000E-06,+2.693341732491E+00,+2.709045194555E+00,+1.094302767888E+00
-4.590000E-06,+2.537562839687E+00,+2.472864292562E+00,+1.094302767888E+00
-4.585000E-06,+2.612939723302E+00,+2.628643185366E+00,+1.094302767888E+00
-4.580000E-06,+2.371733695734E+00,+2.472864292562E+00,+1.094302767888E+00
-4.575000E-06,+2.617964848876E+00,+2.392462283373E+00,+1.094302767888E+00
-4.570000E-06,+2.693341732491E+00,+2.709045194555E+00,+1.094302767888E+00
-4.565000E-06,+2.537562839687E+00,+2.472864292562E+00,+1.094302767888E+00
-4.560000E-06,+2.612939723302E+00,+2.628643185366E+00,+1.094302767888E+00
-4.555000E-06,+2.291331686545E+00,+2.548241176177E+00,+1.094302767888E+00
-4.550000E-06,+2.693341732491E+00,+2.392462283373E+00,+1.094302767888E+00
