0	39.21	-8.9
104.4	110.59	-7.79
201.9	178.02	-7.8
302.9	241.13	-9.07
401	296.99	-8.33
501	349.02	-6.8
603	398.35	-6.11
702	445.12	-6.23
803	491.66	-4.12
905	539.96	-4.09
1007	583.65	-2.906
1107	630.59	-2.71
1208	678.19	-2.32
1303	723.64	-1.29
1406	774.02	-3.39
1506	816.13	-1.31
1605	863.73	-1.38
1709	921.77	-0.67
1805	956.59	-0.49
1903	1003.43	0.34
2005	1051	1.24
2119	1105.74	1.7
2223	1156.26	0.95
2311	1197.87	1.84
2403	1244.81	1.78
2507	1291.55	1.38
