0  0 0  0  
233  1012.28  233  -51.61  
234  973.88  234  0.36  
235  859.94  235  15.48  
236  1103.58  236  -7.86  
237  1218.65  237  13.76  
238  959.11  238  28.82  
239  790.6  239  14.15  
240  1068.86  240  29.2  
241  1203.36  241  -30.52  
242  883.26  242  -16.23  
243  1110.5  243  17.14  
244  1061.64  244  7.62  
245  1076.24  245  4.95  
246  1024.35  246  -32.15  
247  1112.09  247  6.38  
248  1227.57  248  17.11  
249  860.24  249  -4.71  
250  1003.51  250  17.19  
251  1038.61  251  -0.29  
252  1178.71  252  -31.66  
253  910.03  253  12.03  
254  1162.47  254  -3.43  
255  1411.65  255  33.64  
256  907.06  256  -40.79  
257  1086.48  257  18.97  
258  1300.82  258  29.1  
259  1059.91  259  20.74  
260  916.37  260  -3.98  
261  1096.45  261  -27.5  
262  854.37  262  -2.45  
263  1152.7  263  -1.56  
264  1284.82  264  23.77  
265  1095.63  265  29.3  
266  772.5  266  -29.51  
267  833.24  267  10.34  
268  984.0  268  -23.82  
269  1029.11  269  33.79  
270  848.22  270  -23.81  
271  1035.75  271  16.65  
272  1158.48  272  8.19  
273  1081.92  273  12.54  
274  1135.24  274  -19.77  
275  1263.72  275  21.13  
276  957.43  276  20.13  
277  1140.51  277  17.77  
278  1126.1  278  -0.32  
279  976.38  279  4.67  
280  1154.64  280  21.4  
281  919.67  281  -2.44  
282  802.96  282  8.68  
283  1050.35  283  16.89  
284  855.42  284  -12.7  
285  921.15  285  -7.07  
286  1082.22  286  18.82  
287  993.37  287  -65.69  
288  1062.88  288  -17.68  
289  923.35  289  2.64  
290  1125.8  290  -8.22  
291  1252.86  291  -35.47  
292  1185.38  292  -25.4  
293  847.67  293  25.57  
294  753.44  294  -12.95  
295  974.59  295  -39.04  
296  735.69  296  -13.67  
297  1040.13  297  -8.93  
298  958.37  298  12.99  
299  1039.92  299  6.22  
300  1032.99  300  13.87  
301  1032.7  301  4.29  
302  970.38  302  22.02  
303  1164.51  303  -3.02  
304  1051.04  304  -3.19  
305  1408.56  305  9.17  
306  957.0  306  3.41  
307  929.26  307  2.9  
308  1142.01  308  11.79  
309  894.1  309  5.87  
310  909.56  310  -8.75  
311  980.76  311  2.6  
312  1033.79  312  -2.95  
313  924.31  313  -13.64  
314  780.62  314  -3.76  
315  1073.15  315  -5.56  
316  1066.49  316  -13.01  
317  1077.53  317  -33.1  
318  978.6  318  27.74  
319  941.3  319  -2.91  
320  969.23  320  14.72  
321  1068.13  321  -1.59  
322  975.5  322  7.24  
323  1205.35  323  22.58  
324  841.14  324  -33.46  
325  1048.8  325  30.54  
326  968.48  326  -0.54  
327  921.89  327  0.83  
328  904.99  328  5.7  
329  1086.25  329  20.87  
330  1211.94  330  12.39  
331  1129.4  331  -14.76  
332  1152.95  332  7.36  
333  962.75  333  -3.12  
334  874.35  334  6.74  
335  760.1  335  -6.19  
336  1012.94  336  10.05  
337  948.46  337  -0.22  
338  797.45  338  0.5  
339  916.62  339  25.8  
340  870.35  340  16.19  
341  929.81  341  21.58  
342  1112.96  342  3.81  
343  1359.06  343  -27.24  
344  855.83  344  -31.4  
345  966.11  345  -17.11  
346  1056.21  346  34.54  
347  1239.51  347  -6.97  
348  1153.08  348  -3.28  
349  1131.49  349  -11.67  
350  1124.64  350  37.43  
351  839.79  351  15.86  
352  900.56  352  15.85  
353  1049.86  353  3.12  
354  868.03  354  -7.69  
355  864.55  355  -5.41  
356  1086.69  356  11.94  
357  1169.05  357  -30.54  
358  1049.83  358  11.76  
359  954.17  359  31.39  
360  1009.43  360  13.69  
361  1020.82  361  -8.34  
362  1061.86  362  -36.74  
363  920.36  363  5.91  
364  1025.3  364  -13.48  
365  868.29  365  12.61  
366  1116.6  366  24.63  
367  1034.25  367  9.32  
368  868.57  368  -46.63  
369  816.44  369  1.15  
370  842.78  370  2.06  
371  1185.59  371  39.09  
372  1345.96  372  2.39  
373  903.8  373  -43.36  
374  1120.35  374  19.57  
375  1159.1  375  6.92  
376  1086.81  376  8.2  
377  823.3  377  16.93  
378  887.55  378  19.21  
379  1172.84  379  15.17  
380  949.58  380  8.13  
381  889.98  381  -3.81  
382  1006.17  382  27.39  
383  973.74  383  -15.37  
384  827.39  384  21.44  
385  981.14  385  -42.4  
386  809.48  386  -16.08  
387  1036.95  387  -3.75  
388  960.34  388  14.69  
389  1029.84  389  -29.75  
390  949.37  390  9.84  
391  1282.73  391  -19.79  
392  988.83  392  -1.8  
393  1291.61  393  16.67  
394  1455.3  394  5.24  
395  898.03  395  14.08  
396  1011.07  396  2.07  
397  996.52  397  10.89  
398  772.31  398  31.09  
399  986.39  399  33.83  
400  866.15  400  1.21  
401  854.49  401  34.55  
402  1082.88  402  11.53  
403  824.75  403  -21.99  
404  951.79  404  -38.73  
405  1199.11  405  -27.81  
406  997.58  406  -10.59  
407  1157.33  407  10.12  
408  836.54  408  24.4  
409  1135.35  409  0.35  
410  956.46  410  1.55  
411  807.66  411  17.09  
412  947.63  412  -3.33  
413  831.6  413  -0.26  
414  1106.13  414  -22.37  
415  963.28  415  6.78  
416  968.41  416  10.67  
417  948.92  417  25.81  
418  881.37  418  -1.15  
419  1047.17  419  21.69  
420  861.64  420  18.58  
421  907.83  421  34.43  
422  1080.09  422  3.55  
423  932.19  423  5.51  
424  769.0  424  13.27  
425  853.35  425  -1.78  
426  980.06  426  8.24  
427  729.55  427  29.4  
428  1163.59  428  7.34  
429  1064.97  429  3.92  
430  992.83  430  -15.66  
431  1042.76  431  -8.44  
432  952.34  432  -28.72  
433  993.17  433  31.19  
434  1129.72  434  -36.92  
435  957.52  435  -0.57  
436  1025.02  436  7.54  
437  792.97  437  -30.84  
438  742.34  438  12.95  
439  1294.92  439  22.53  
440  762.98  440  17.9  
441  1079.87  441  -1.81  
442  1179.34  442  13.9  
443  1034.78  443  10.61  
444  1374.28  444  -3.85  
445  1285.7  445  9.1  
446  909.18  446  -38.86  
447  885.86  447  -2.85  
448  1137.99  448  1.17  
449  743.83  449  5.96  
450  947.54  450  -26.48  
451  1104.26  451  15.24  
452  1048.46  452  9.8  
453  836.9  453  -10.8  
454  1311.74  454  -15.78  
455  1012.39  455  -12.22  
456  1320.35  456  22.94  
457  783.77  457  -26.45  
458  1215.92  458  22.81  
459  957.54  459  -21.31  
460  933.27  460  7.57  
461  868.21  461  11.63  
462  1202.83  462  49.52  
463  915.67  463  21.68  
464  780.84  464  -48.82  
465  835.22  465  9.5  
466  762.12  466  -3.19  
467  850.02  467  28.74  
468  926.83  468  -0.69  
469  1288.12  469  1.43  
470  883.74  470  18.65  
471  1199.64  471  2.12  
472  889.77  472  -28.47  
473  972.17  473  -8.59  
474  1025.82  474  14.9  
475  822.86  475  20.12  
476  926.84  476  9.54  
477  1224.67  477  11.55  
478  1062.82  478  35.44  
479  777.57  479  8.54  
480  948.5  480  -1.92  
481  1411.29  481  9.04  
482  841.1  482  28.03  
483  944.22  483  21.39  
484  1025.18  484  -15.97  
485  956.63  485  4.94  
486  1106.46  486  20.99  
487  809.32  487  1.18  
488  1006.51  488  -16.04  
489  979.03  489  -0.02  
490  1364.13  490  26.21  
491  944.06  491  6.74  
492  889.63  492  -20.25  
493  843.67  493  24.38  
494  1134.24  494  15.11  
495  1162.58  495  -36.28  
496  971.78  496  -8.19  
497  1017.64  497  31.0  
498  1059.01  498  2.54  
499  810.26  499  35.93  
500  1113.71  500  3.4  
501  930.45  501  -21.87  
502  957.49  502  0.17  
503  928.05  503  20.33  
504  1307.17  504  7.18  
505  1054.19  505  10.48  
506  894.95  506  -3.37  
507  834.99  507  30.84  
508  1204.24  508  -33.34  
509  743.24  509  -10.14  
510  832.71  510  7.57  
511  819.59  511  -42.55  
512  800.98  512  17.72  
513  1318.04  513  18.5  
514  908.69  514  -8.19  
515  854.35  515  -24.72  
516  933.62  516  36.35  
517  931.95  517  20.59  
518  811.53  518  21.4  
519  767.77  519  17.66  
520  1210.36  520  5.57  
521  1000.09  521  12.32  
522  984.41  522  -29.68  
523  1106.34  523  5.47  
524  1149.59  524  -7.27  
525  1038.69  525  4.96  
526  1102.7  526  8.13  
527  808.25  527  -8.56  
528  905.03  528  -12.84  
529  1228.59  529  21.54  
530  960.28  530  5.64  
531  999.19  531  9.82  
532  1179.79  532  8.56  
533  1041.74  533  -0.39  
534  1107.89  534  10.83  
535  839.77  535  -3.69  
536  1001.44  536  -4.93  
537  922.66  537  -16.04  
538  858.11  538  -4.9  
539  768.16  539  -31.61  
540  1124.56  540  -16.27  
541  986.77  541  -26.31  
542  790.32  542  -38.09  
543  953.17  543  -36.32  
544  1016.1  544  -41.37  
545  761.12  545  -31.44  
546  1265.38  546  3.67  
547  950.17  547  -5.83  
548  1388.69  548  -29.85  
549  1273.41  549  -40.47  
550  1343.33  550  37.08  
551  960.39  551  -58.13  
552  874.09  552  13.12  
553  693.74  553  15.12  
554  728.34  554  12.55  
555  1010.29  555  9.61  
556  1081.28  556  -17.8  
557  1006.81  557  12.41  
558  878.61  558  11.63  
559  1020.96  559  32.49  
560  1202.51  560  36.68  
561  1217.37  561  5.75  
562  817.36  562  -21.1  
563  993.48  563  4.21  
564  1139.97  564  30.31  
565  1202.25  565  12.14  
566  940.82  566  26.59  
567  1300.37  567  39.45  
